tick,hp,maxhp,money,inv,own,enemy,enemy_dps,enemy_swings,enemy_value,choice,t1,t2,t3,t4,t5,t6,t7,t8
342,2000,2000,5,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
345,2000,2000,5,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
348,2000,2000,5,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
351,2000,2000,5,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
354,2000,2000,5,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
357,2000,2000,5,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
360,2000,2000,8,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
363,2000,2000,8,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
366,2000,2000,8,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
369,2000,2000,8,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
372,2000,2000,8,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
375,2000,2000,8,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
378,2000,2000,8,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
381,2000,2000,8,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
384,2000,2000,8,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
387,2000,2000,8,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
390,2000,2000,11,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
393,2000,2000,11,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
396,2000,2000,11,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
399,2000,2000,11,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
402,2000,2000,11,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
405,2000,2000,11,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
408,2000,2000,11,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
411,2000,2000,11,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
414,2000,2000,11,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
417,2000,2000,11,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
420,2000,2000,13,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
423,2000,2000,13,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
426,2000,2000,13,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
429,2000,2000,13,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
432,2000,2000,13,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
435,2000,2000,13,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
438,2000,2000,13,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
441,2000,2000,13,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
444,2000,2000,13,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
447,2000,2000,13,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
450,2000,2000,16,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
453,2000,2000,16,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
456,2000,2000,16,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
459,2000,2000,16,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
462,2000,2000,16,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
465,2000,2000,16,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
468,2000,2000,16,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
471,2000,2000,16,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
474,2000,2000,16,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
477,2000,2000,16,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
480,2000,2000,19,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
483,2000,2000,19,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
486,2000,2000,19,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
489,2000,2000,19,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
492,2000,2000,19,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
495,2000,2000,19,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
498,2000,2000,19,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
501,2000,2000,19,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
504,2000,2000,19,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
507,2000,2000,19,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
510,2000,2000,21,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
513,2000,2000,21,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
516,2000,2000,21,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
519,2000,2000,21,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
522,2000,2000,21,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
525,2000,2000,21,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
528,2000,2000,21,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
531,2000,2000,21,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
534,2000,2000,21,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
537,2000,2000,21,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
540,2000,2000,24,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
543,2000,2000,24,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
546,2000,2000,24,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
549,2000,2000,24,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
552,2000,2000,24,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
555,2000,2000,24,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
558,2000,2000,24,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
561,2000,2000,24,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
564,2000,2000,24,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
567,2000,2000,24,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
570,2000,2000,26,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
573,2000,2000,26,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
576,2000,2000,26,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
579,2000,2000,26,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
582,2000,2000,26,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
585,2000,2000,26,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
588,2000,2000,26,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
591,2000,2000,26,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
594,2000,2000,26,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
597,2000,2000,26,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
600,2000,2000,29,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
603,2000,2000,29,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
606,2000,2000,29,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
609,2000,2000,29,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
612,2000,2000,29,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
615,2000,2000,29,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
618,2000,2000,29,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
621,2000,2000,29,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
624,2000,2000,29,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
627,2000,2000,29,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
630,2000,2000,32,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
633,2000,2000,0,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
636,2000,2000,0,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
639,2000,2000,0,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
642,2000,2000,0,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
645,2000,2000,0,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
648,2000,2000,0,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
651,2000,2000,0,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
654,2000,2000,0,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
657,2000,2000,0,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
660,2000,2000,4,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
663,2000,2000,4,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
666,2000,2000,4,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
669,2000,2000,4,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
672,2000,2000,4,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
675,2000,2000,4,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
678,2000,2000,4,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
681,2000,2000,4,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
684,2000,2000,4,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
687,2000,2000,4,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
690,2000,2000,9,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
693,2000,2000,9,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
696,2000,2000,9,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
699,2000,2000,9,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
702,2000,2000,9,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
705,2000,2000,9,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
708,2000,2000,9,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
711,2000,2000,9,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
714,2000,2000,9,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
717,2000,2000,9,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
720,2000,2000,13,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
723,2000,2000,13,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
726,2000,2000,13,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
729,2000,2000,13,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
732,2000,2000,13,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
735,2000,2000,13,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
738,2000,2000,13,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
741,2000,2000,13,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
744,2000,2000,13,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
747,2000,2000,13,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
750,2000,2000,18,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
753,2000,2000,18,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
756,2000,2000,18,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
759,2000,2000,18,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
762,2000,2000,18,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
765,2000,2000,18,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
768,2000,2000,18,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
771,2000,2000,18,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
774,2000,2000,18,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
777,2000,2000,18,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
780,2000,2000,22,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
783,2000,2000,22,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
786,2000,2000,22,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
789,2000,2000,22,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
792,2000,2000,22,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
795,2000,2000,22,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
798,2000,2000,22,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
801,2000,2000,22,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
804,2000,2000,22,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
807,2000,2000,22,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
810,2000,2000,27,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
813,2000,2000,27,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
816,2000,2000,27,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
819,2000,2000,27,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
822,2000,2000,27,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
825,2000,2000,27,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
828,2000,2000,27,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
831,2000,2000,27,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
834,2000,2000,27,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
837,2000,2000,27,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
840,2000,2000,31,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
843,2000,2000,31,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
846,2000,2000,31,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
849,2000,2000,31,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
852,2000,2000,31,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
855,2000,2000,31,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
858,2000,2000,31,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
861,2000,2000,31,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
864,2000,2000,31,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
867,2000,2000,31,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
870,2000,2000,35,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
873,2000,2000,35,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
876,2000,2000,35,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
879,2000,2000,35,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
882,2000,2000,35,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
885,2000,2000,35,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
888,2000,2000,35,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
891,2000,2000,35,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
894,2000,2000,35,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
897,2000,2000,35,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
900,2000,2000,40,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
903,2000,2000,40,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
906,2000,2000,40,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
909,2000,2000,40,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
912,2000,2000,40,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
915,2000,2000,40,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
918,2000,2000,40,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
921,2000,2000,40,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
924,2000,2000,40,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
927,2000,2000,40,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
930,2000,2000,44,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
933,2000,2000,44,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
936,2000,2000,44,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
939,2000,2000,44,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
942,2000,2000,44,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
945,2000,2000,44,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
948,2000,2000,44,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
951,2000,2000,44,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
954,2000,2000,44,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
957,2000,2000,44,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
960,2000,2000,49,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
963,2000,2000,49,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
966,2000,2000,49,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
969,2000,2000,49,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
972,2000,2000,49,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
975,2000,2000,49,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
978,2000,2000,49,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
981,2000,2000,49,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
984,2000,2000,49,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
987,2000,2000,49,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
990,2000,2000,53,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
993,2000,2000,53,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
996,2000,2000,53,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
999,2000,2000,53,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
1002,2000,2000,53,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
1005,2000,2000,53,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
1008,2000,2000,53,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
1011,2000,2000,53,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0
